Date & Time,SKU,Name,Brand,Average Rating,Rating Count,Sponsered,Price,Sales Price,Express,Rank,Link
2024-12-21 17:32:38,Z249EBB45716CC045A863Z,"Lemon 4-Pair Non-slip Yoga Socks, Cotton Pilates Socks with Straps, Breathable&Moisture-Wicking&Machine-Washable, Ideal for Yoga/Pilates/Ballet/Dance/Workout (Pink+Black+Grey+Brown, Fit Size 36-42) ",Lemon,NA,NA,Y, ,39.20,Y,1,https://www.noon.com/uae-en/4-pair-non-slip-yoga-socks-cotton-pilates-socks-with-straps-breathable-moisture-wicking-machine-washable-ideal-for-yoga-pilates-ballet-dance-workout-pink-black-grey-brown-fit-size-36-42/Z249EBB45716CC045A863Z/p/?o=z249ebb45716cc045a863z-1
2024-12-21 17:32:38,Z184FBC1B30D0C5DACA2DZ,ORiTi Stretch Strap with Exercise Guide Versatile Multi-Loop Perfect for Yoga Pilates and Physical Therapy Portable Helps Improve Flexibility ,ORiTi,4.8,3,Y, ,28,Y,23,https://www.noon.com/uae-en/stretch-strap-with-exercise-guide-versatile-multi-loop-perfect-for-yoga-pilates-and-physical-therapy-portable-helps-improve-flexibility/Z184FBC1B30D0C5DACA2DZ/p/?o=z184fbc1b30d0c5daca2dz-1
2024-12-21 17:32:38,N20034889A,Generic Anti-Tear Exercise Mat With Carrying Strap ,Generic,4.3,1.6K,N,NA,39.45,Y,21,https://www.noon.com/uae-en/anti-tear-exercise-mat-with-carrying-strap/N20034889A/p/?o=f2d873be1dd8236b
2024-12-21 17:32:38,Z30868C98E61D2ABA2621Z,"MahMir Mahmir® EVA Foam Roller for Yoga, Deep Tissue Massage, Stretching, Physical Therapy, Relieve Stress, Improve Mobility with Foam Roller for Legs and Muscles - Deep Tissue Massage Tool (Pink) ",MahMir,4.0,8,Y,NA,29.95,Y,19,https://www.noon.com/uae-en/mahmir-eva-foam-roller-for-yoga-deep-tissue-massage-stretching-physical-therapy-relieve-stress-improve-mobility-with-foam-roller-for-legs-and-muscles-deep-tissue-massage-tool-pink/Z30868C98E61D2ABA2621Z/p/?o=z30868c98e61d2aba2621z-1
2024-12-21 17:32:38,Z143BA04D58F71AF3CC94Z,"GROIC Fitness Yoga Mat for Women and Men - Large, 4mm Thick, 68 Inch *24 Inch, Non Slip Exercise Mats w/ 70 Printed Yoga Poses for Pilates, Workout and Stretching - Home and Gym Essentials ",GROIC,5.0,7,N, ,87.40,Y,20,https://www.noon.com/uae-en/fitness-yoga-mat-for-women-and-men-large-4mm-thick-68-inch-24-inch-non-slip-exercise-mats-w-70-printed-yoga-poses-for-pilates-workout-and-stretching-home-and-gym-essentials/Z143BA04D58F71AF3CC94Z/p/?o=z143ba04d58f71af3cc94z-1
2024-12-21 17:32:38,Z4CB58C8A30F63107B73FZ,Cool Baby Style COOLBABY Pilates Multifunctional Yoga Bed.Pilates Core Bed.Fitness Equipment.Pilates Training Bed.Strength Adjustment.Solid Wood ,Cool Baby Style,NA,NA,N,NA,"4,779",N,22,https://www.noon.com/uae-en/coolbaby-pilates-multifunctional-yoga-bed-pilates-core-bed-fitness-equipment-pilates-training-bed-strength-adjustment-solid-wood/Z4CB58C8A30F63107B73FZ/p/?o=z4cb58c8a30f63107b73fz-1
2024-12-21 17:32:38,Z4882AD10A617AAC52EADZ,Gaiam Chakra Yoga Mat Bag ,Gaiam,NA,NA,N, ,109,Y,134,https://www.noon.com/uae-en/chakra-yoga-mat-bag/Z4882AD10A617AAC52EADZ/p/?o=z4882ad10a617aac52eadz-1
2024-12-21 17:32:38,N22815219A,Kanteen Store Anti Burst Sports Swiss Yoga Aerobic Body Fitness Ball 65cm 65cm ,Kanteen Store,4.4,294,N, ,29.85,Y,135,https://www.noon.com/uae-en/anti-burst-sports-swiss-yoga-aerobic-body-fitness-ball-65cm-65cm/N22815219A/p/?o=cd4a3abe48782d5a
2024-12-21 17:32:38,ZB0ABF4DF8F76F9BEE598Z,Generic Punching bags Standing punching bags are available for families of adults or children ,Generic,5.0,3,N,NA,599,Y,18,https://www.noon.com/uae-en/punching-bags-standing-punching-bags-are-available-for-families-of-adults-or-children/ZB0ABF4DF8F76F9BEE598Z/p/?o=zb0abf4df8f76f9bee598z-1
2024-12-21 17:32:38,Z44692B2FD732E550BC63Z,"Unique Resistance Bands, Elastic Exercise Bands for Working Out, Physical Therapy, Recovery, Yoga, Pilates, Strength Training ",Unique,4.9,5,N, ,23.50,Y,132,https://www.noon.com/uae-en/resistance-bands-elastic-exercise-bands-for-working-out-physical-therapy-recovery-yoga-pilates-strength-training/Z44692B2FD732E550BC63Z/p/?o=z44692b2fd732e550bc63z-1
2024-12-21 17:32:38,Z24E1B5B4FDE8BB5C6111Z,"Bernessi 8MM Yoga Mat with Carrying Strap Anti-Slip for Home Workout Exercises Meditation Eco Friendly, Non Skid TPE Yoga Mattres for Pilates 183x61x0.8cm Thick, Pink/Black Color ",Bernessi,4.8,65,N, ,69.90,Y,17,https://www.noon.com/uae-en/8mm-yoga-mat-with-carrying-strap-anti-slip-for-home-workout-exercises-meditation-eco-friendly-non-skid-tpe-yoga-mattres-for-pilates-183x61x0-8cm-thick-pink-black-color/Z24E1B5B4FDE8BB5C6111Z/p/?o=z24e1b5b4fde8bb5c6111z-1
2024-12-21 17:32:38,Z23067B03F54054219A1CZ,Gaiam Yoga Beginners Kit Lily Shadow ,Gaiam,NA,NA,N, ,158,Y,131,https://www.noon.com/uae-en/yoga-beginners-kit-lily-shadow/Z23067B03F54054219A1CZ/p/?o=z23067b03f54054219a1cz-1
2024-12-21 17:32:38,N16529616A,body heart Yoga Ball With Air Pump - 65 cm 65cm 65cm ,body heart,4.3,62,N, ,27.20,Y,137,https://www.noon.com/uae-en/yoga-ball-with-air-pump-65-cm-65cm-65cm/N16529616A/p/?o=be578ba74d4a4a8f
2024-12-21 17:32:38,N43250378A,Rock Pow Acupressure Mat 66 x 42cm ,Rock Pow,NA,NA,N, ,59,Y,130,https://www.noon.com/uae-en/acupressure-mat-66-x-42cm/N43250378A/p/?o=fea16ff4a291debe
2024-12-21 17:32:38,ZC6C0044F2081F98BB4CFZ,Generic Pilates Yoga Wedge Massage Correction Yoga Foam Kyphosis Correction Detachable Large Spine Yoga Equipment ,Generic,NA,NA,N,NA,299,Y,133,https://www.noon.com/uae-en/pilates-yoga-wedge-massage-correction-yoga-foam-kyphosis-correction-detachable-large-spine-yoga-equipment/ZC6C0044F2081F98BB4CFZ/p/?o=zc6c0044f2081f98bb4cfz-1
2024-12-21 17:32:38,ZA9BFB7369713E4E6A4A8Z,GROIC 5 Pcs Pilates Ring Set Yoga Fitness Magic Circle Pilates Equipment for Home Workouts Fitness kit Includes Burst Resistant Pilates Mini Ball & Highly Elastic Resistance Bands ,GROIC,NA,NA,N, ,80.45,N,128,https://www.noon.com/uae-en/5-pcs-pilates-ring-set-yoga-fitness-magic-circle-pilates-equipment-for-home-workouts-fitness-kit-includes-burst-resistant-pilates-mini-ball-highly-elastic-resistance-bands/ZA9BFB7369713E4E6A4A8Z/p/?o=a3cf917d4499993f
2024-12-21 17:32:38,Z9F9959795903122BD6DEZ,PUMA Yoga Training Mat ,PUMA,NA,NA,N, ,139,Y,136,https://www.noon.com/uae-en/yoga-training-mat/Z9F9959795903122BD6DEZ/p/?o=z9f9959795903122bd6dez-1
2024-12-21 17:32:38,Z4247101839A17521A8B9Z,"Spall Yoga Mat Non Slip,Yoga Mat with Strap Included 10mm Thick Exercise Mat Yoga and Many Other Home Workouts ",Spall,5.0,5,N, ,42,N,125,https://www.noon.com/uae-en/yoga-mat-non-slip-yoga-mat-with-strap-included-10mm-thick-exercise-mat-yoga-and-many-other-home-workouts/Z4247101839A17521A8B9Z/p/?o=z4247101839a17521a8b9z-1
2024-12-21 17:32:38,ZA4FB2C673210B38D137AZ,Generic Dancing Shoes Soft Bottom Practice Ballet with Cloth Head Shoes for Girls White Color ,Generic,4.4,18,N,NA,35,N,126,https://www.noon.com/uae-en/dancing-shoes-soft-bottom-practice-ballet-with-cloth-head-shoes-for-girls-white-color/ZA4FB2C673210B38D137AZ/p/?o=za4fb2c673210b38d137az-2
